,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
0,OPERACIONES DE CARGA FRONTAL,"OPERAR MAQUINARIA DE CARGA FRONTAL PARA FAENAS DE ACOPIO, TRASLADO Y ESTIBA DE CARGA A GRANEL DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA LEGAL VIGENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS,
1,OBTENCIÓN DE ACEITES DE SEMILLAS Y GRASAS,"REALIZAR OPERACIONES DE OBTENCIÓN DE ACEITES DE SEMILLAS Y DE GRASAS COMESTIBLES, PREPARANDO LA MAQUINARIA Y EQUIPOS, REALIZANDO Y CONTROLANDO LAS FASES DE RECEPCIÓN, LIMPIEZA, SECADO, ALMACENAMIENTO DE MATERIA PRIMA, ASÍ COMO LAS ACTIVIDADES DE TRATAMIENTO, ELABORACIÓN, EXTRACCIÓN Y ENVASADO DE ACEITES DE SEMILLAS Y GRASAS DE ACUERDO A LA NORMATIVA DE CALIDAD Y SEGURIDAD ALIMENTARIA.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
2,SUPERVISIÓN EN PRODUCCIÓN DE ACEITE DE SEMILLAS Y GRASAS COMESTIBLES,"GESTIONAR UNA UNIDAD O SECCIÓN EN LA INDUSTRIA DE ACEITES Y GRASAS, PROGRAMANDO, PREPARANDO Y SUPERVISANDO LOS RECURSOS MATERIALES Y HUMANOS DISPONIBLES, ASÍ COMO LOS TRABAJOS NECESARIOS PARA ALCANZAR LOS OBJETIVOS FIJADOS EN LOS PLANES DE PRODUCCIÓN, CALIDAD Y PROTECCIÓN AMBIENTAL.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
3,OPERACIONES AUXILIARES EN PROSPECCIÓN Y EXPLORACIÓN GEOLÓGICA,"REALIZAR LABORES COMPLEMENTARIAS DE PROSPECCIÓN Y EXPLORACIÓN GEOLÓGICA UTILIZANDO EQUIPOS, HERRAMIENTAS E INSTRUMENTOS ESPECIALIZADOS DE ACUERDO CON PROCEDIMIENTOS INTERNOS ESTABLECIDOS Y NORMATIVAS VIGENTES.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
4,OPERACIONES DE MANUFACTURA DE PRODUCTOS LACTEOS,"REALIZAR LAS OPERACIONES DE LOS PROCESOS DE ELABORACIÓN DE LOS PRODUCTOS LÁCTEOS DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS, NORMAS DE CALIDAD, HIGIENE Y SANIDAD",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
5,OPERACIONES DE MANTENIMIENTO E INSTALACIÓN DE SISTEMAS INMÓTICOS,"REALIZAR EL MONTAJE Y MANTENIMIENTO DE SISTEMAS INMÓTICOS, APLICANDO LAS TÉCNICAS Y LOS PROCEDIMIENTOS ESTABLECIDOS, CON CRITERIOS DE CALIDAD Y CUMPLIENDO LA NORMATIVA VIGENTE.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE PROGRAMACIÓN Y TRANSMISIÓN,
6,INSTALACIÓN DE REDES DE FIBRA ÓPTICA,INSTALAR SISTEMAS Y REDES DE FIBRA ÓPTICA DE ACUERDO A PROCEDIMIENTOS Y PLANOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),TELECOMUNICACIONES,
7,ELABORACIÓN DE AZÚCAR,"REALIZAR LAS OPERACIONES DE EXTRACCIÓN Y ELABORACIÓN DE AZÚCAR, CONTROLANDO LA DEPURACIÓN DE LOS EFLUENTES OCASIONADOS, ACTUANDO SEGÚN LAS CONDICIONES ESTABLECIDAS EN LOS MANUALES DE PROCEDIMIENTO Y CUMPLIENDO LA NORMATIVA DE CALIDAD, SALUD, SEGURIDAD ALIMENTARIA Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
8,SUPERVISIÓN EN PROCESAMIENTO DE PRODUCTOS DERIVADOS DE CACAO,"SUPERVISAR LOS PROCESOS, OPERACIÓN Y MANTENIMIENTO DE LOS EQUIPOS Y MAQUINARIA UTILIZADA EN LA PRODUCCIÓN DE LICOR, MANTECA Y TORTA DE CACAO, APLICANDO LAS NORMAS DE CALIDAD, NORMAS DE INOCUIDAD, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
9,OPERACIONES AUXILIARES EN ALIMENTACIÓN Y NUTRICIÓN,REALIZAR ACTIVIDADES DE APOYO EN LA PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS Y PROBLEMAS NUTRICIONALES DE ACUERDO A LAS BUENAS PRÁCTICAS DE MANUFACTURA Y APORTE NUTRICIONAL EN LA DIETA,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
10,ARBITRAJE DEPORTIVO,ARBITRAR LA COMPETENCIA DEPORTIVA DE ACUERDO AL REGLAMENTO ESTABLECIDO EN LA NORMATIVA LEGAL VIGENTE.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",
11,PRODUCCIÓN DE CAFÉS ESPECIALES,"ESTABLECER LA SIEMBRA, MANEJO, COSECHA Y POS COSECHA DE CULTIVOS DE CAFÉ, TOMANDO EN CONSIDERACIÓN CRITERIOS DE DIFERENCIACIÓN, BUENAS PRÁCTICAS AGRÍCOLAS Y AMBIENTALES PARA GARANTIZAR LA TRAZABILIDAD, CONSISTENCIA Y REPLICABILIDAD DE LOS LOTES Y OBTENER UN CAFÉ ESPECIAL DE ALTA CALIDAD Y RENTABILIDAD",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
12,INDUSTRIALIZACIÓN DE PRODUCTOS AGROPECUARIOS,"EJECUTAR OPERACIONES AUXILIARES DE PREPARACIÓN DEL TERRENO, SIEMBRA, CUIDADOS CULTURALES, RECOLECCIÓN, RIEGO, ABONADO Y APLICACIÓN DE TRATAMIENTOS FITOSANITARIOS EN CULTIVOS AGRÍCOLAS, CUMPLIENDO LA NORMATIVA APLICABLE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
13,GESTIÓN EN PROCESAMIENTO DE ALIMENTOS,"REALIZAR LAS OPERACIONES DE APOYO EN LOS PROCESOS PRODUCTIVOS DE: RECEPCIÓN Y PREPARACIÓN DE MATERIAS PRIMAS Y PRODUCTOS AUXILIARES, ELABORACIÓN Y CONSERVACIÓN DE PRODUCTOS ALIMENTARIOS, ENVASADO Y EMPAQUETADO DE LOS MISMOS, ASÍ COMO MANEJAR CARRETILLAS Y DISPOSITIVOS DE TRANSPORTE INTERNO DE MERCANCÍAS, CUMPLIENDO LA NORMATIVA APLICABLE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
