,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
0,SEGURIDAD INFORMÁTICA,"GARANTIZAR LA SEGURIDAD DE LOS ACCESOS Y USOS DE LA INFORMACIÓN REGISTRADA EN EQUIPOS INFORMÁTICOS, ASÍ COMO DEL PROPIO SISTEMA, PROTEGIÉNDOSE DE LOS POSIBLES ATAQUES, IDENTIFICANDO VULNERABILIDADES Y APLICANDO SISTEMAS DE CIFRADO A LAS COMUNICACIONES QUE SE REALICEN HACIA EL EXTERIOR Y EN EL INTERIOR DE LA ORGANIZACIÓN.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,
1,DESARROLLO DE APLICACIONES CON TECNOLOGÍAS WEB,"DESARROLLAR DOCUMENTOS Y COMPONENTES SOFTWARE QUE CONSTITUYAN APLICACIONES INFORMÁTICAS EN ENTORNOS DISTRIBUIDOS UTILIZANDO TECNOLOGÍAS WEB, PARTIENDO DE UN DISEÑO TÉCNICO YA ELABORADO, REALIZANDO, ADEMÁS, LA VERIFICACIÓN, DOCUMENTACIÓN E IMPLANTACIÓN DE LOS MISMOS.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN,
2,GESTIÓN DE INVERSIONES,REALIZAR EL PROCESO DE CAPTACIÓN DE RECURSOS MEDIANTE DEPÓSITOS A PLAZO FIJOS (DPFS) PARA LAS ORGANIZACIONES DEL SECTOR FINANCIERO DE ACUERDO A LAS POLÍTICAS Y PROCEDIMIENTOS ESTABLECIDOS.,SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
3,SUPERVISIÓN DE CAJA,"SUPERVISAR LAS OPERACIONES DE CAJA EN ORGANIZACIONES O ENTIDADES FINANCIERAS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
4,SUPERVISIÓN DE ORGANIZACIONES DEL SECTOR FINANCIERO POPULAR Y SOLIDARIO,"PLANIFICAR, SUPERVISAR Y EVALUAR LOS PROCESOS Y PROCEDIMIENTOS FINANCIEROS, ADMINISTRATIVOS, LEGALES Y SOCIALES DE LAS ORGANIZACIONES DEL SECTOR FINANCIERO POPULAR Y SOLIDARIO TOMANDO EN CONSIDERACIÓN LA ESTRUCTURA FUNCIONAL Y LAS METODOLOGÍAS ESPECÍFICAS ASOCIADAS A LOS DIFERENTES TIPOS DE INDICADORES.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
5,MANEJO DE LA ATENCIÓN DE EMERGENCIAS OBSTÉTRICAS,COORDINAR LA ATENCIÓN DE EMERGENCIAS OBSTÉTRICAS DE ACUERDO A LOS PROTOCOLOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
6,OPERACIONES AUXILIARES EN CONTROL Y VIGILANCIA FITO SANITARIA,EJECUTAR ACTIVIDADES DE VIGILANCIA Y CONTROL FITOSANITARIO DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA LEGAL VIGENTE.,PRODUCCIÓN PECUARIA,FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS,
7,OPERACIONES DE MANTENIMIENTO,"REALIZAR OPERACIONES DE CONTROL, MANTENIMIENTO PREVENTIVO, PREDICTIVO Y CORRECTIVO DE MAQUINARIA Y EQUIPOS DE ACUERDO A LOS PROCEDIMIENTOS DE LA EMPRESA, APLICANDO LAS NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
8,OPERACIONES DE MONTAJE DE INSTALACIONES DE ENERGÍA EÓLICA,"EFECTUAR OPERACIONES PARA EL MONTAJE Y PUESTA EN OPERACIÓN DE INSTALACIONES DE ENERGÍA EÓLICA, CUMPLIENDO LAS NORMATIVAS TÉCNICAS Y DE SEGURIDAD VIGENTES.","ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
9,OPERACIONES EN COLORIMETRÍA,"ELABORAR UN DETERMINADO COLOR APLICADO A LA INDUSTRIA AUTOMOTRIZ, DE ACUERDO A LOS REQUERIMIENTOS DEL CLIENTE, SIGUIENDO PROCEDIMIENTOS DE COLORIMETRÍA PARA EL REPINTE AUTOMOTRIZ.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
10,PRÁCTICA TERAPÉUTICA DE SHIATSU,REALIZAR PRÁCTICA TERAPÉUTICA ALTERNATIVA DE SHIATSU DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
11,PRÁCTICA TERAPÉUTICA DE YOGA,REALIZAR PRÁCTICA TERAPÉUTICA ALTERNATIVA DE YOGA SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
12,SISTEMAS DE CONTROL ELECTRÓNICO AUTOMOTRIZ,"EJECUTAR OPERACIONES DE CONTROL DE LOS SISTEMAS ELECTRÓNICOS QUE FORMAN PARTE DE UN VEHÍCULO, FACILITANDO SU MANEJO Y ASEGURANDO SUFUNCIONAMIENTO ADECUADO, DE ACUERDO PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
13,SOSTENIMIENTO EN MINAS SUBTERRÁNEAS,"REALIZAR EL SOSTENIMIENTO O ENTIBADO EN MINAS SUBTERRÁNEAS, CUANDO EL MACIZO ROCOSO NO ES AUTO SOPORTABLE DE ACUERDO A PROCEDIMIENTOS TÉCNICOS ESTABLECIDOS, CUMPLIENDO CON LA NORMATIVA VIGENTE.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
14,SUPERVISIÓN EN MANEJO DE ENERGÍA ELÉCTRICA,"SUPERVISAR GRUPOS DE TRABAJO EN ACTIVIDADES DE GENERACIÓN, TRANSMISIÓN, SUBTRANSMISIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN, EN TRABAJOS PROPIOS DEL SECTOR ELÉCTRICO CON BASE A LAS NECESIDADES DEL CONTEXTO.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
15,ACTIVIDADES DE MAYORDOMO A BORDO DE UN BUQUE DE PASAJE,"ATENDER A LOS PASAJEROS A BORDO DE UN BUQUE DE PASAJEROS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
